Name,NutriRating,Purpose,Subtype,Description,Vegan,Vegetarian
arugula,1,Vegetable,lettuce,,TRUE,TRUE
rocket,1,Vegetable,lettuce,,TRUE,TRUE
nettles,1,Vegetable,,,TRUE,TRUE
New Zealand spinach,1,Vegetable,,,TRUE,TRUE
okra,1,Vegetable,,,TRUE,TRUE
Mushroom,1,Fungi,,,TRUE,TRUE
Chives,1,Vegetable,Allium,,TRUE,TRUE
Garlic,1,Vegetable,Allium,,TRUE,TRUE
Leek,1,Vegetable,Allium,,TRUE,TRUE
onion,1,Vegetable,Allium,,TRUE,TRUE
shallot,1,Vegetable,Allium,,TRUE,TRUE
scallion,1,Vegetable,Allium,,TRUE,TRUE
bell pepper,1,Vegetable/Fruit,Nightshade,,TRUE,TRUE
chili pepper,1,Vegetable/Fruit,Nightshade,,TRUE,TRUE
Jalapeño,1,Vegetable/Fruit,Nightshade,,TRUE,TRUE
Habanero,1,Vegetable/Fruit,Nightshade,,TRUE,TRUE
Paprika,1,Vegetable/Fruit,Nightshade,,TRUE,TRUE
Tabasco pepper,1,Vegetable/Fruit,Nightshade,,TRUE,TRUE
Cayenne pepper,1,Vegetable/Fruit,Nightshade,,TRUE,TRUE
rhubarb,1,Vegetable,,,TRUE,TRUE
beet,1,Vegetable,root vegetable,,TRUE,TRUE
carrot,1,Vegetable,root vegetable,,TRUE,TRUE
celeriac,1,Vegetable,root vegetable,,TRUE,TRUE
eddoe,1,Vegetable,root vegetable,,TRUE,TRUE
konjac,1,Vegetable,root vegetable,,TRUE,TRUE
taro,1,Vegetable,root vegetable,,TRUE,TRUE
water chestnut,1,Vegetable,root vegetable,,TRUE,TRUE
ginger,1,Vegetable,root vegetable,,TRUE,TRUE
parsnip,1,Vegetable,root vegetable,,TRUE,TRUE
rutabaga,1,Vegetable,root vegetable,,TRUE,TRUE
radish,1,Vegetable,root vegetable,,TRUE,TRUE
wasabi,1,Vegetable,root vegetable,,TRUE,TRUE
horseradish,1,Vegetable,root vegetable,,TRUE,TRUE
white radish,1,Vegetable,root vegetable,,TRUE,TRUE
daikon,1,Vegetable,root vegetable,,TRUE,TRUE
jicama,1,Vegetable,root vegetable,,TRUE,TRUE
jerusalem artichoke,1,Vegetable,root vegetable,,TRUE,TRUE
topinambur,1,Vegetable,root vegetable,,TRUE,TRUE
potato,1,Vegetable,root vegetable,,TRUE,TRUE
sunchokes,1,Vegetable,root vegetable,,TRUE,TRUE
sweet potato,1,Vegetable,root vegetable,,TRUE,TRUE
yam,1,Vegetable,root vegetable,,TRUE,TRUE
turnip,1,Vegetable,root vegetable,,TRUE,TRUE
sweetcorn,1,Vegetable,,,TRUE,TRUE
acorn squash,1,Vegetable/Fruit,squash,,TRUE,TRUE
bitter melon,1,Vegetable/Fruit,squash,,TRUE,TRUE
butternut squash,1,Vegetable/Fruit,squash,,TRUE,TRUE
banana squash,1,Vegetable/Fruit,squash,,TRUE,TRUE
courgette,1,Vegetable/Fruit,squash,,TRUE,TRUE
zucchini,1,Vegetable/Fruit,squash,,TRUE,TRUE
cucumber,1,Vegetable/Fruit,squash,,TRUE,TRUE
delicata,1,Vegetable/Fruit,squash,,TRUE,TRUE
gem squash,1,Vegetable/Fruit,squash,,TRUE,TRUE
hubbard squash,1,Vegetable/Fruit,squash,,TRUE,TRUE
Squash,1,Vegetable/Fruit,squash,,TRUE,TRUE
spaghetti squash,1,Vegetable/Fruit,squash,,TRUE,TRUE
tat soi,1,Vegetable,,,TRUE,TRUE
tomato,1,Vegetable/Fruit,,,TRUE,TRUE
watercress,1,Vegetable,,,TRUE,TRUE
